id,name,percent,species_id:id,group_id:id
2069,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,453,18
2070,"Autovetture, motoveicoli e simili 25% ",,453,18
2071,Contenitori di grandi dimensioni in metallo o materiale plastico 15% ,,453,18
2072,Fabbricati destinati all'industria 4% ,,454,18
2073,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,454,18
2074,"Autobus di linea adibiti a servizi pubblici di linea urbani ed extraurbani, compresi autobus in servizio per noleggio di rimessa e rimorchi per trasporto di persone 25% ",,454,18
2075,Autocarri e rimorchi per trasporto di cose20% ,,454,18
2076,"Autobus di linea adibiti a servizi pubblici di linea urbani ed extraurbani, compresi autobus in servizio per noleggio di rimessa e rimorchi per trasporto di persone 25% ",,454,18
2077,Autocarri e rimorchi per trasporto di cose20% ,,454,18
2078,Autovetture in genere (servizio pubblico) 30% ,,454,18
2079,Autofurgoni e motofurgoni 30% ,,454,18
2080,Trattori - Carri attrezzi - Carrelli elettrici 20% ,,454,18
2081,Veicoli a traino animale 10% ,,454,18
2082,Officina meccanica - Mezzi di sollevamento peso - Impianti di carica batterie 10% ,,454,18
2083,Attrezzatura varia e minuta - Finimenti per traino animali Parati per pompe funebri - Accumulatori per carri elettrici 20% ,,454,18
2084,Attrezzatura varia e minuta - Mobili e macchine ordinarie di ufficio 12% ,,454,18
2085,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,454,18
2086,Contenitori di grandi dimensioni in metallo o materiale plastico 15% ,,454,18
2087,Contenitori e bottiglie per il trasporto di esafloruro di uranio e relative scocche protettive 50% ,,454,18
2088,Fabbricati ordinari ed altri manufatti 3% ,,455,18
2089,Fabbricati destinati all'industria 6% ,,455,18
2090,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,455,18
2091,Centrali manuali ed elettromeccaniche 8% ,,455,18
2092,Centrali e impianti elettronici 18% ,,455,18
2093,"Ponti radio, circuiti (apparecchiature) AF ed amplificazione 15% ",,455,18
2094,Rete aerea e pali di sostegno 8% ,,455,18
2095,Cavi sotteranei 5% ,,455,18
2096,Cavi sottomarini 12% ,,455,18
2097,"Poste pubbliche e di abbonato, cabine, impianti interni e derivati, centralini ed apparecchiature 12% ",,455,18
2098,Attrezzatura varia e minuta 25% ,,455,18
2099,Mobili e macchine ordinarie d'ufficio 12% ,,455,18
2100,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,455,18
2101,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi si trasporto interno, ecc) 20% ",,455,18
2102,"Autovetture, motoveicoli e simili 25% ",,455,18
