id,code,name
274,252900,"Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione"
275,253000,Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda)
276,254000,Fabbricazione di armi e munizioni
277,255000,"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri"
278,256100,Trattamento e rivestimento dei metalli
279,256200,Lavori di meccanica generale
280,257100,"Fabbricazione di articoli di coltelleria, posateria ed armi bianche"
281,257200,Fabbricazione di serrature e cerniere e ferramenta simili
282,257311,Fabbricazione di utensileria ad azionamento manuale
283,257312,Fabbricazione di parti intercambiabili per macchine utensili
284,257320,"Fabbricazione di stampi, portastampi, sagome, forme per macchine"
285,259100,Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio
286,259200,Fabbricazione di imballaggi leggeri in metallo
287,259310,Fabbricazione di prodotti fabbricati con fili metallici
288,259320,Fabbricazione di molle
289,259330,Fabbricazione di catene fucinate senza saldatura e stampate
290,259400,Fabbricazione di articoli di bulloneria
291,259911,Fabbricazione di caraffe e bottiglie isolate in metallo
292,259919,"Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e altri accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno"
293,259920,"Fabbricazione di casseforti, forzieri e porte metalliche blindate"
294,259930,"Fabbricazione di oggetti in ferro, in rame ed altri metalli"
295,259991,Fabbricazione di magneti metallici permanenti
296,259999,Fabbricazione di altri articoli metallici e minuteria metallica nca
297,261101,"Fabbricazione di diodi, transistor e relativi congegni elettronici"
298,261109,Fabbricazione di altri componenti elettronici
299,261200,Fabbricazione di schede elettroniche assemblate
300,262000,Fabbricazione di computer e unità periferiche
301,263010,Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere)
302,263021,Fabbricazione di sistemi antifurto e antincendio
303,263029,Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni
304,264001,Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini
305,264002,Fabbricazione di console per videogiochi (esclusi i giochi elettronici)
306,265110,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia"
307,265121,"Fabbricazione di rilevatori di fiamma e combustione, di mine, di movimento, generatori d'impulso e metal detector"
308,265129,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)"
