no_import,default_code,supplier_product_code,COD.ART.PROD.,name,GIAC.,GIAC.MIN.,IMP.,ORD.,PREAS.,U.M.,PRZ.LISTINO,SC. L.1,SC. L.2,SC. L.3,supplier_cost,ALTRI FORN.,RIC. 1,price,IVA,supplier_name,GRUPPO MERCEOLOGICO,MARCA,COD.SC.PROD.,SIGLA PROD.,COD.PROD.,PRODUTTORE,POS.MAG.,MOV.,COD.REP.,REPARTO,COD.SET.,SETTORE,COD.FAM.,FAMIGLIA,LINEA,COD.BARRE,COD.RAGGRUP.,E.C.,DATA INS
,3366,,,FILTRO 490X592X48,0,0,0,0,0,N.,"6,42",0,0,0,"6,42",,30,"8,346",22,ACFI,,,0,,0,,,S,,,,,,,,,,,19/04/2012
,5716,CFWD495X1850X48-A40,,FILTRO 495X1850X48 A40,0,0,0,0,0,N.,"27,96",0,0,0,"27,96",,30,"36,348",22,ACFI,,,0,,0,,,S,,,,,,,,,,,04/12/2013
,128,NTE9287X592X292,,FILTRO A TASCA 287X592X292,0,0,0,0,0,N.,"25,74",0,0,0,"25,74",,30,"33,462",22,ACFI,,,0,,0,,,S,,,,,,,,,,,26/04/2011
,127,NTE9592X592X292,,FILTRO A TASCA 592X592X292,0,0,0,0,0,N.,"42,9",0,0,0,"42,9",,30,"55,77",22,ACFI,,,0,,0,,,S,,,,,,,,,,,26/04/2011
,5713,CFL270X1220X5,,FILTRO CFL 270X1220X5,0,0,0,0,0,N.,"6,39",0,0,0,"6,39",,30,"8,307",22,ACFI,,,0,,0,,,S,,,,,,,,,,,04/12/2013
,4368,,,FILTRO CFW 40 500X570X48,0,0,0,0,0,N.,"7,46",0,0,0,"7,46",,30,"9,698",22,ACFI,,,0,,0,,,S,,,,,,,,,,,02/10/2012
,2396,CFWD810X765X48,,FILTRO CFW 40 810X765X48,0,0,0,0,0,N.,"20,25",0,0,0,"20,25",,30,"26,325",22,ACFI,,,0,,0,,,S,,,,,,,,,,,11/11/2011
,4367,,,FILTRO CFW40 630X635X48,0,0,0,0,0,N.,"10,2",0,0,0,"10,2",,30,"13,26",22,ACFI,,,0,,0,,,S,,,,,,,,,,,02/10/2012
,4644,00003442,,"FILTRO CONTENITORE DEPURA 700 ATT. 3/4"" F",0,0,0,0,0,N.,15,0,0,0,15,,30,"19,5",22,IMETER SPA,,,0,,0,,,S,,,,,,,,,,,31/01/2013
,1504,1072807000,,"FILTRO DEPURATORE A Y RBM 858.07 1""1/4",0,0,0,0,0,N.,"8,41",0,0,0,"8,41",,30,"10,933",22,SACCARIA IDROTERMOSANITARI SRL,,,0,,0,,,S,,,,,,,,,,,08/08/2011
